transaction_id,timestamp,sender,receiver,location,country,amount,type,channel,is_international,risk_score
31,2025-08-02 09:32:45,c05599cb-12e8-49eb-b5a6-d7b3e6e577e8,77d4b9f5-40a4-42eb-905e-4d5f5e992d12,Michaelhaven,Finland,2744.81,bills,bank_app,1,0.86
32,2025-06-25 18:39:01,5562fd17-8c7b-482e-adfe-5bb4050168e0,d40227ea-d20c-411d-b6bd-35b5e3302d1e,Amyland,Spain,1750.55,others,offline,0,0.04
33,2025-01-20 08:56:17,5940abf7-b1b1-4910-b445-46d8c80ff0e3,f1d176a7-b8ce-455d-8ebd-313aaa62eab4,Port Jamesport,Belgium,660.77,others,mobile,1,0.76
34,2025-07-19 15:22:39,3eebf70d-1f3b-4945-8f14-2621a32ac87a,fa1b0b60-f45a-43bc-99a5-ac9b9db940d3,South Brianfurt,Austria,3715.19,p2p,web,0,0.28
35,2025-01-31 16:48:56,6726b6b8-01ad-42bd-a3e8-5cf5c1fc7b5a,bbed6ca6-6019-4131-a0c0-cb51a514e287,Charleneburgh,Belgium,585.82,salary,bank_app,0,0.85
36,2025-09-21 03:48:50,734b98af-68b3-4ea0-8a4f-a917e3fa23ed,84145985-176e-4aeb-b53a-ad2028eb11e5,North Shelby,Ireland,3113.53,others,offline,1,0.22
37,2025-09-13 17:56:08,1afced32-1859-4f8d-aa47-ec9f1978cde2,a1e3cadc-24ca-4ca0-9b9a-b88ceee5118a,North Alejandromouth,Belgium,3216.17,salary,bank_app,0,0.5
38,2025-11-18 19:14:24,e002869c-5cb4-493f-9802-30fc0a8624b1,997b439d-d483-458f-873b-3fcc6c47aa46,Alexandrachester,France,3263.67,p2p,web,0,0.94
39,2025-09-14 09:57:20,5855618b-fbd8-4849-848a-0fbcbb17ab33,317619b3-61ea-4326-bc24-a3c9ad799a31,Port Kristina,Spain,317.23,salary,bank_app,1,0.71
40,2025-11-01 12:15:46,cd7a31f3-1b60-4b52-acab-f933f8205071,5b989594-611d-4714-9125-80d0f5cdee48,Johnbury,Austria,4784.26,merchant,mobile,0,0.17
41,2025-11-02 01:43:38,e009c600-b95d-4002-a9f1-623a5c71276f,a012c466-2d66-4af6-ad0a-2bd3e7bbc5c8,Melissashire,Finland,3541.26,others,offline,0,0.78
42,2025-02-25 08:20:15,7bae8833-def5-4c12-912e-84bdcd96ee6b,be7b41d6-e675-40b3-bf43-3730c0af46aa,Port Gregorychester,Belgium,670.06,merchant,offline,1,0.81
43,2025-04-13 03:38:00,e48b91c6-366d-41c6-970e-9393da672c28,7197f218-898e-4582-99f6-390b17fc1d76,New Carlhaven,Austria,1079.37,bills,offline,0,0.48
44,2025-01-31 17:47:40,5a634ab1-c8cb-460b-a63d-eaacfabc903e,8366ea8e-941a-4277-a3cc-96ced511ba2f,Smithhaven,Austria,1070.68,others,bank_app,0,0.86
45,2025-03-31 09:32:57,fd520e59-4a74-43e8-9fd4-9bd49b75226b,bdae2145-e6e5-4190-a48c-584c19fc3a5c,New Anthony,Italy,1631.58,salary,mobile,1,0.35
46,2025-10-17 15:53:39,dee7b57c-8b28-4aa6-8be8-9349f5ff2e93,35e8102f-7223-46b6-bc80-116c3bd677f9,East Craig,Netherlands,716.21,salary,bank_app,0,0.1
47,2025-05-10 23:25:10,190369b4-a023-49e7-800e-16e677442948,ad665690-f689-4fc2-a25c-06243d1de720,Lake Christopherbury,Belgium,402.62,p2p,bank_app,1,0.75
48,2025-09-11 11:44:08,6a73f421-5fc0-4418-9ffb-06386cfef65a,0c4818f0-e527-4762-be82-a7b07cee8c2c,East Robertburgh,Germany,491.15,p2p,mobile,1,0.36
49,2025-11-23 13:33:18,d55e0651-e1b8-4ec9-9739-4cdc684c86a1,01661a67-df1e-44ab-bb32-a7c36d98fcf9,South Heather,Portugal,2669.43,bills,web,1,0.1
50,2025-08-29 23:38:31,8335696f-df69-4fb6-9227-1f727b28d8ef,1b97bbad-7a49-4366-88a2-896f43db1c78,Lake Ryan,France,1452.28,salary,web,0,0.92
51,2025-09-22 20:33:03,3c2467df-af89-4611-a609-0c90bbd9b68a,da49465a-2c14-41a1-b36b-71e4bea72cfd,Hallborough,Germany,3227.01,p2p,bank_app,0,0.21
52,2025-03-26 12:59:16,728feb14-d9d1-4fcd-8102-bc99df401039,76200ce7-79ae-4fbe-935c-d5f4ae2a6207,Port Emily,Portugal,2296.26,p2p,bank_app,0,0.22
53,2025-09-12 05:14:22,5a055c99-8184-4429-ad87-64daf9150c7a,4d8f6dbb-e6a7-4ae8-84f5-927513b0516e,West Jennifer,Spain,1027.94,p2p,mobile,0,0.83
54,2025-02-25 22:21:01,05b688b7-1837-4530-a71f-9d032f891085,521631c8-cd0c-4a98-bff2-9bf08b5e30c1,Richardsonbury,Portugal,4475.05,bills,bank_app,0,0.69
55,2025-06-05 19:08:19,ad375056-c27f-473e-ad47-1ebfc46cbbcf,3cc5e4ed-1f51-4de1-82df-be43b1d69c1d,New Jonathon,Ireland,617.96,salary,mobile,1,0.46
56,2025-11-09 22:37:15,8fc9c520-0e1e-4f1b-b0cd-93acfd3ff246,e6f89897-4c1f-41b7-b095-af41c3534d7c,Port Georgehaven,Italy,3173.36,merchant,mobile,0,0.96
57,2025-02-16 14:42:06,902f8b0c-85d3-46d8-8728-c4f6b051c595,947266fa-86ec-4f56-a8f3-cfc13f1d5cd0,Penamouth,Netherlands,1360.93,bills,web,1,0.24
58,2025-07-01 06:50:43,644af8b9-ac94-4d98-b27c-fbb214808b11,73bc48b9-c380-4629-972b-e6de5c929624,Matthewfort,Finland,1841.05,others,mobile,1,0.58
59,2025-07-07 09:53:03,432eb323-d7aa-468b-934c-a17b241766c2,49ff6107-c15f-42b3-9fe0-e6ff1d0084fd,Port Heather,Belgium,1911.57,p2p,mobile,0,0.5
60,2025-01-29 19:26:57,9eeb3946-3761-4574-bb73-9011da5d0540,a91710b6-9567-482e-b611-7d908dd44880,Owensshire,Spain,3775.31,others,mobile,1,0.77
61,2025-09-30 07:08:48,dde0a21c-fba7-4e99-b707-9f42a632dd4b,c064dd6d-7768-4d00-b131-fa15cca9e865,New Shirleystad,Austria,2263.09,salary,bank_app,0,0.28
62,2025-11-18 18:30:40,a24598b8-a607-4250-a84e-1a437a6f1157,1a36c5bf-0809-4fd8-bda3-648e59220f8b,Wellsland,Ireland,3994.68,salary,web,0,0.84
63,2025-09-20 23:07:15,69578181-075c-45be-8c30-6146d70ece5f,a3fd6ab6-6d2e-4c09-9041-8ff16531677b,South Kennethshire,Germany,118.89,p2p,mobile,1,0.92
64,2025-02-26 10:56:21,701038c0-9820-4468-82e0-5348d14205f2,5ae5ad15-553b-4d7c-a38e-73bd12549df2,Jessicatown,Finland,4458.93,merchant,bank_app,0,0.67
65,2025-04-13 20:04:00,7a9d9c05-8504-435e-b0c9-42c56b8aea9d,dd4df4e3-478c-498c-af77-4195fceddafa,Madisonview,Ireland,1963.12,salary,offline,0,0.55
66,2025-05-22 16:41:27,75da16e6-57fa-49d8-85dd-cea949eb726a,707ef9bd-245b-44a6-9a61-b3dc80ba7611,Port Sharontown,Finland,2759.3,bills,bank_app,0,0.05
67,2025-05-17 01:00:22,148ecf08-308e-441f-939a-cc83249d6eeb,245a59eb-4977-407c-ac79-6cbcdfb1a77f,South Judy,Portugal,1413.89,others,bank_app,0,0.4
68,2025-05-05 19:28:12,bc472a0c-4a9c-4329-acef-9d6043fe1526,a15ca5a6-a134-49e7-8825-f6363a94cfd6,Lauraberg,Finland,4505.99,merchant,offline,0,0.04
69,2025-04-28 03:26:12,dd861260-019f-43a9-8b09-2c8db2ba037e,fe1247cd-a491-4367-b738-144da5b027d4,Gallegosport,Portugal,3522.78,salary,web,1,0.99
70,2025-03-30 02:12:04,9f2a2668-4592-446c-aa5f-d4057f4aaed9,36eea173-7d46-4156-965d-e7f7d91991d5,Anthonyburgh,Austria,3963.39,merchant,mobile,0,0.67
71,2025-10-21 15:52:17,3ca2aef4-96d1-4a44-8321-b6c300c35f6e,f7eb95c9-655e-42f2-96ce-def3c4601f28,Lake Gregorybury,Portugal,86.15,bills,offline,1,0.88
72,2025-03-27 06:17:22,dc6ed985-bcdd-421c-aca4-46ec5c5263dd,e7b31714-7530-409c-bd07-59ba7da3624c,Walkerfort,Finland,2023.71,merchant,bank_app,0,0.12
73,2025-04-08 18:41:49,0b83f29d-e205-4cba-a049-b353ce155d2f,26ef9f67-d64f-4b4e-819b-bfae03b89d3f,Gabrielfort,Italy,2959.37,merchant,bank_app,1,0.54
74,2025-11-19 04:11:45,597f23fa-f43b-42bc-ab36-1d81781d010b,a33bac86-34e9-495c-93b9-b6c4516dbb5e,South Jeff,Austria,1019.68,bills,mobile,0,0.32
75,2025-06-11 06:01:38,604e62a2-cafb-4f58-9b46-9f92108fea48,64528f8c-c914-474d-a6ed-ecdfc6fa467c,New Heatherton,Spain,3280.54,others,mobile,0,0.68
76,2025-07-22 05:27:00,1cfc199c-9eb3-430f-9f24-705a13432fe8,071db37e-b0bd-4df5-8881-5fbfc21d7cda,South Jacquelineville,Portugal,2177.58,p2p,bank_app,1,0.13
77,2025-10-03 21:23:40,2a5f3500-faba-494c-a469-6dabd88ae870,8b358039-6ab8-4729-ad0a-119756ad040f,South Edwinchester,Portugal,1498.94,merchant,web,1,0.35
78,2025-07-14 18:02:10,931ee601-60a5-4358-b245-0d4a12cb1e17,0a306ca8-6802-4dca-a701-ec54c46f81a6,Clarktown,Netherlands,1347.37,others,mobile,0,0.91
79,2025-07-30 19:44:30,15e97d32-b100-4ec0-afa5-56c9dd5d6b01,e286272c-82d5-48ca-97b5-229288637722,Lake Nicholasfurt,Belgium,2899.2,others,offline,1,0.67
80,2025-02-12 15:22:11,cd3d86e4-30f8-4976-afb8-68d0d9f29c3a,b0abb0b8-89c0-46e3-a39a-f2f76ad6e578,Christineburgh,Italy,3139.61,others,mobile,1,0.93
81,2025-02-26 18:22:40,abd62214-2cbc-4ede-932e-e3d9e476f248,0b94e683-7bb9-47a3-9d97-47afc7d3459e,Port Stephanie,Ireland,1769.5,others,bank_app,1,0.24
82,2025-01-31 10:34:29,b4179c67-992f-4bc1-bdbb-abe13b0f2200,24cb1e78-d922-4a78-aaa2-1d5f86e9b921,Jeremyport,Finland,4898.37,bills,bank_app,1,0.87
83,2025-05-30 14:13:55,caae48db-7f65-44ef-aaac-ee1a96672a2d,e36da2db-dc54-4312-b771-c61d0624264c,New Shane,Spain,1464.37,others,bank_app,1,0.24
84,2025-09-07 08:00:52,bd205c6e-85b4-4d8b-a09c-b770866b2d89,c7751224-78ad-4e53-b9ec-3bfcc26ed351,East Mary,Spain,3433.58,salary,mobile,1,0.06
85,2025-06-05 07:20:04,00e587da-1450-4840-a180-ef66faa8a8a0,f2142f38-2e6a-4680-a9ac-4657ebf8d975,Samueltown,Netherlands,3727.52,merchant,bank_app,0,0.23
86,2025-08-03 10:47:17,1a1696ae-37e6-43c9-98a2-c84049ee0d74,0d652b64-57f6-477b-8c5f-50dddde525bc,South Andrewburgh,Spain,2893.91,bills,bank_app,0,0.62
87,2025-09-16 07:18:11,257da4c6-2b8e-423d-ad68-4bad185cec5e,fd7f9114-2a1e-499f-a4b8-b16e839cd55d,West Scottport,Austria,1290.12,others,bank_app,1,0.64
88,2025-09-15 12:11:41,b4ef1476-b54d-42f1-aaac-5c192333ac9c,304efc41-bdeb-47ec-bd07-177866b1ead9,Swansonburgh,Austria,123.94,salary,mobile,0,0.83
89,2025-10-29 09:27:25,fde5ee37-911d-4b8d-862b-7aa199553574,6c3e817f-7c43-4de3-a2bc-33a811bbe17c,South Frankside,Portugal,813.61,others,web,1,0.06
90,2025-01-20 01:08:43,bfa266ca-6830-4544-808a-592b56294296,c36c2680-c802-4a54-883a-8bd28599bfbb,East Vincent,Belgium,3844.12,others,web,1,0.44
91,2025-06-09 00:20:18,73c766e0-2538-401e-a836-761568e18c40,7991e195-6e01-4458-8e8a-738607bd713a,Michaelland,Germany,218.02,bills,mobile,0,0.23
92,2025-04-17 01:31:07,ad2314e1-8366-4f39-bb80-d4cc3b753968,5a47e2a6-06b6-4e2b-a650-6977cbe817b7,Fieldsfurt,Portugal,2515.96,p2p,mobile,0,0.8
93,2025-11-10 20:04:36,82deac1a-66aa-4d0d-9c49-25293672f3a4,6d35963d-957a-4ca5-af27-f3c11d81e58c,Samanthahaven,Austria,2745.97,p2p,web,1,0.65
94,2025-07-24 03:32:45,5068a9c9-9ed5-4fa7-a9ad-ecc430caef35,39cdaf3e-c21a-4454-b066-159b33ba5338,East Sarahbury,Portugal,3204.83,salary,bank_app,1,0.42
95,2025-05-22 16:42:59,f4a87d3f-6284-4308-838d-5c31fb141b44,6046987a-219a-4140-b824-f3767dfb0b6d,West Jessicatown,Austria,3147.66,others,mobile,0,0.02
96,2025-05-26 00:07:12,e8206459-b44a-469b-a3a8-5ce80be9c1ce,da1b6750-3dc9-4749-8e4f-d305980dec93,Johnburgh,Finland,4554.1,p2p,mobile,1,0.93
97,2025-11-06 21:27:01,ac98461d-8ce3-44cc-9146-5b25928ba2fa,71a14625-00b6-4ed1-bc15-660fc29456ee,North Meganhaven,Austria,1797.62,bills,mobile,0,0.37
98,2025-03-11 01:15:15,127a8130-ebbb-42aa-a868-4822711de253,6106ed9e-d73b-48dd-85d8-105e40b529d4,South Zacharyborough,Ireland,4828.14,bills,offline,1,0.16
99,2025-01-12 02:29:25,1e2e86b5-e3d8-41e8-b147-6c1de856c581,a2229a43-cbca-40a8-bcf0-205b973d890a,West Davidberg,Belgium,3233.53,salary,mobile,0,0.42
100,2025-08-21 03:33:33,71f242ca-2f7e-4295-9822-5af0e3fcbb67,bbe241a2-cb6b-4910-8f26-f6529ebeb3d7,Jaredton,Finland,1884.74,salary,mobile,1,0.65
101,2025-02-26 04:48:03,342312b8-917b-4e54-b514-294f00459360,f5436de2-9894-444e-846a-e4979ced0ba9,Port Michael,Netherlands,2719.39,merchant,bank_app,0,0.72
102,2025-05-29 20:22:27,724e6377-8b66-4cce-919a-d0553800d1b1,465fc14b-0c1d-454c-8124-b17f8cb3bf4e,Port Michaelmouth,Austria,3714.52,others,offline,0,0.95
103,2025-04-24 21:40:39,82be7f80-949d-4a40-b6f9-6453bf22f7bd,75e8ef5c-eaab-4399-b907-2eb6da6ba943,Madisonport,Spain,4272.27,others,web,1,0.75
104,2025-05-14 00:05:54,e9cd48d4-f5cc-4c9b-8714-67a6267d052b,1bf8543b-a867-4038-bf6f-ba892f571401,Jenniferstad,Belgium,2629.62,bills,bank_app,1,0.8
105,2025-04-07 06:42:53,d2ec635f-8b03-47ad-b3e1-f83b075e61e4,d5e51fba-e872-4bce-ad29-302ddf2e39a0,Ryanhaven,Netherlands,1162.75,bills,offline,0,0.28
106,2025-09-24 15:11:42,153e255c-349c-4eb8-be95-e0f4e473418f,06dfd539-96a7-457e-bcff-71a687599e44,Cookfurt,Ireland,1623.06,bills,bank_app,1,0.96
107,2025-07-20 23:34:08,6c203243-5ad5-4c6d-bab4-53336103f139,1d23ab74-a029-494f-8846-4a38d68fac2b,Lake Matthewberg,Austria,4619.49,bills,web,1,0.05
108,2025-09-10 01:39:36,5a3c4ee4-c91b-4bd8-9f46-ad51f7f636a7,e4fcdff3-d2c6-4986-966c-85d05dbae0fa,West Brett,Netherlands,1481.2,salary,bank_app,0,0.59
109,2025-10-01 02:38:24,66fb8cc4-d705-49d6-baa7-48b2060b0e21,38098948-e93f-4545-89e8-fb6136c77dd7,Jacksonside,Germany,3599.43,bills,mobile,1,0.74
110,2025-10-10 00:02:57,e7746ba7-01e8-4a8c-b952-1f69597fe8ad,1ab78082-6745-4ca1-847d-f222742f0428,Marshallport,Spain,4123.39,merchant,offline,0,0.67
111,2025-06-22 06:14:56,4fb55e63-8b74-4ac9-9956-6684f61f1e4b,df1caf45-1d42-4324-aa9a-5709ad011472,Camachoborough,Ireland,715.9,bills,bank_app,0,0.09
112,2025-09-08 12:34:27,1bb0b1bf-8387-4924-a2fc-a06b865bc584,9a2a95e6-ba29-4b12-a141-63bb13a672ca,Lake Sandra,Belgium,2294.5,p2p,bank_app,0,1.0
113,2025-05-21 20:52:16,207db44f-a1b0-4eb5-a344-eec9cba02392,9e549d00-545b-4f22-8043-ab02917c5e9c,Ingrammouth,Germany,290.73,p2p,web,0,0.86
114,2025-11-14 22:44:51,bd7ce1a8-58a6-4620-9463-8cc1670b6370,bbc69203-c3d7-425f-9659-bc219927f9d0,Port Dawnside,Italy,2760.75,bills,web,1,0.08
115,2025-07-23 20:54:40,4346c28f-6302-48f0-9b17-db059d843af5,c0a878b9-f834-4130-b92c-81fc023686e6,East Tammy,Italy,2766.45,bills,bank_app,0,0.01
116,2025-10-10 09:41:39,66bf27d6-ac3e-44a2-b963-1c659077c213,723b23e2-e2d6-4720-8c18-c354967a021a,North Victor,Austria,556.29,salary,bank_app,0,0.16
117,2025-01-28 16:11:57,0bbdb212-b29b-445c-9889-a92a410506e7,449f278e-e7cc-4343-bb38-128843142044,Adamsmouth,Ireland,778.25,salary,offline,1,0.2
118,2025-07-24 10:41:20,1868ca94-d96c-4f73-b203-e22aa9ab250d,8e849518-c106-4324-bcdf-5c1107f10283,South Paul,Austria,3770.57,p2p,web,1,0.67
119,2025-09-13 02:44:38,29f862f3-7018-496d-b088-33cb6c17fc60,d662181a-b664-4d71-a248-83bcd12dee4c,West Kari,Netherlands,3050.72,salary,mobile,0,0.95
120,2025-03-30 18:10:28,a762d0bb-a7de-4a81-a12f-6569e96baa99,29f105bc-bacb-4188-8d34-fe1eed7cd0d9,South Brian,Portugal,4664.97,merchant,offline,0,0.57
121,2025-06-17 01:39:01,1f868544-1fb5-499b-a084-9b49573555ff,54eac35d-603c-4070-bdaa-2bbf250e301d,Brianshire,Ireland,4571.56,others,offline,1,0.83
122,2025-09-29 03:35:12,7bcd8ede-9c0a-4588-b55a-1920664a79dd,86ebb207-89b6-491c-b05f-80a7e54331e4,South Dennis,France,361.22,others,bank_app,1,0.33
123,2025-04-16 04:42:18,09284532-98d9-4b17-9272-df1002f8603c,13ceae47-2f01-4441-802c-4e31fb285755,South Sandraport,Austria,597.96,salary,mobile,1,0.96
124,2025-10-25 23:49:53,22a210c3-ddeb-47fb-91c3-3990877d3a56,307c43bd-6b27-4311-9339-35010fc36991,East Robert,France,3753.86,merchant,offline,1,0.22
125,2025-05-13 03:01:11,31c3056c-384c-45c1-a8e9-465b7f5196da,0c976975-e95f-4bf5-8cee-34afcef48f5f,Lake Devinfurt,Belgium,2637.98,others,offline,0,0.92
126,2025-09-22 13:21:36,c7c6e903-d7c4-4755-b306-47221a4ccb16,8e234bc1-82cd-4e75-97f5-4c5a61f0400b,Port Seanshire,Belgium,977.01,others,web,1,0.79
127,2025-03-22 06:47:30,8144a7af-9ee3-4416-9719-f2c0fe3c630e,e781822c-442f-4764-995d-aa03d5a08784,Crystalfurt,Portugal,2988.5,salary,mobile,1,0.71
128,2025-03-12 22:48:39,7e19872e-48a3-4661-b6d4-1d8bd6440c4a,bdeea950-96df-4382-b1d2-591bde558d96,New Sarahport,Spain,2272.77,others,web,1,0.07
129,2025-01-16 06:39:50,151db98e-06ba-4c1f-8695-303778e580b8,5ccbf5fd-5d4c-4ddf-9aa9-e34ae9aacf57,West Robert,Germany,2382.99,merchant,web,1,0.51
130,2025-03-02 21:18:56,ce24ae78-91f2-4fbe-b5a2-4bba3ff78b11,38d59350-62ad-44bb-a215-8dc5dabaedcf,Amandahaven,Netherlands,3943.45,p2p,offline,0,0.67
131,2025-07-07 11:59:18,567a9818-023e-4898-8307-68fab55404dc,89b39681-7407-4821-87ff-2e75ed339bb5,Sanchezfort,Germany,2036.84,p2p,offline,1,0.9
132,2025-05-24 17:55:43,e0e374b9-fec7-4e47-9db2-b6a9defa3fa8,f363c824-7ee8-485c-86f3-a1a57526e015,East Jessica,Spain,68.0,bills,offline,1,0.92
133,2025-10-29 04:56:41,4a70b258-9869-416c-9b6b-543a54a2a2c8,297223e7-0330-4b52-b831-29ff6c6548d9,Taylorborough,Portugal,1521.97,merchant,mobile,0,0.83
134,2025-02-18 18:02:17,326196af-0e6e-4e05-9246-eca307a7b0cf,fb6f664a-fe66-445a-8496-69a15b7e0a00,West Timothychester,Ireland,2266.43,bills,offline,1,0.05
135,2025-10-17 17:58:48,835d9d82-c7fd-4d78-8954-474a53ddbd79,c17e0ed0-2d9c-4395-8965-aa5d5796d537,North Neil,Germany,4232.07,salary,mobile,1,0.55
136,2025-07-05 00:20:44,06cb0464-c2da-42d6-a50f-031a55b187b1,d259de51-d2bd-47c3-acea-51abf5511e17,South Adam,France,328.91,bills,bank_app,1,0.5
137,2025-06-06 13:27:35,f42bc149-2594-4d10-92bd-ec3dde300c5e,c035b45b-9e8c-43e6-b0ca-a4dc1cb0847e,Petershire,Austria,4970.09,p2p,offline,1,0.43
138,2025-06-11 11:58:19,249aff85-fd9c-4a99-b953-484c45255542,f451cace-7447-4ece-b004-c15fb82cb938,Torresland,Belgium,4774.24,bills,mobile,0,0.31
139,2025-06-03 04:47:42,0f0ba2f3-2d14-4ef4-bb30-222b4a076d1f,6bc7a17a-1ebc-4e08-b157-299cf4d84b67,North Joseph,Italy,1187.5,others,offline,0,0.24
140,2025-06-15 09:18:09,8e2cf229-e482-4851-ac1a-2ffbaca29d00,d153d1dc-8244-4dd2-a256-095b3c1a2b7f,Shermanville,Ireland,4407.2,bills,mobile,1,0.21
141,2025-03-27 00:39:13,d1154f44-3bb8-4de9-8df8-45c1433d55a5,76a06ef8-e073-4d2c-9974-bc71948991a8,West Savannah,Germany,2004.99,merchant,offline,0,0.48
142,2025-09-22 11:43:20,ac3eaf24-17d4-4958-b37c-fece3d624f1d,563b14ac-c616-4e14-ad81-f0da3a42dd19,Kennethborough,Germany,2753.93,merchant,bank_app,1,0.46
